uuid,gpu,precision,dtype,N,warmups,repetitions,median_ms,trimmed_mean_ms,mean_ms,std_ms,cv_pct,q1_ms,q3_ms,iqr_ms,achieved_tflops,theoretical_tflops,pct_theoretical_peak
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP32,torch.float32,1024,10,200,0.04795200005173683,0.048438399890437724,0.05358655983582139,0.02639920448978446,49.264600248021885,0.04620000161230564,0.050568001344799995,0.004367999732494354,44.784026645041216,104.8,42.732849852138564
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP32,torch.float32,4096,10,100,2.141632080078125,2.2347211956977846,2.264485754966736,0.24797673624377015,10.950686516789892,2.0547839403152466,2.4149280786514282,0.36014413833618164,64.17486679924328,104.8,61.23555992294206
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP32,torch.float32,8192,10,30,16.652560234069824,16.78193457921346,16.831907113393147,0.5964423063402184,3.5435218500322483,16.506023406982422,17.166456699371338,0.660433292388916,66.02658163796856,104.8,63.00246339500818
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP32,torch.float32,16384,10,10,133.5045394897461,134.35925102233887,134.60232849121093,3.162239297970255,2.3493199065844825,132.0049285888672,136.94649124145508,4.941562652587891,65.88609687600615,104.8,62.86841304962419
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,TF32,torch.float32,1024,10,200,0.030928000807762146,0.031155999994371086,0.03488768002949655,0.017286014117997035,49.54761710547161,0.029975999612361193,0.03209599852561951,0.002119998913258314,69.43493248554998,104.8,66.25470657018128
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,TF32,torch.float32,4096,10,100,1.331488013267517,1.3340032041072845,1.342479363679886,0.03463299206324911,2.5797783563924743,1.3288880288600922,1.3350160121917725,0.006127983331680298,103.22207342649679,104.8,98.49434487261145
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,TF32,torch.float32,8192,10,30,9.664944171905518,9.65203062693278,9.655636246999105,0.04315430951017155,0.4469338778538138,9.625167846679688,9.671568393707275,0.04640054702758789,113.7628534857044,104.8,108.55234111231336
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,TF32,torch.float32,16384,10,10,74.60319900512695,74.60715866088867,74.60169219970703,0.07589980325832356,0.10174005578203442,74.56146240234375,74.6656551361084,0.10419273376464844,117.90503811510156,104.8,112.50480736173813
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP16,torch.float16,1024,10,200,0.01958400011062622,0.01976719993399456,0.026683839987963438,0.029278166083415033,109.72246159706341,0.018144000321626663,0.020295999944210052,0.0021519996225833893,109.65500591652783,209.5,52.341291606934526
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP16,torch.float16,4096,10,100,0.6483520269393921,0.6481675997376442,0.6525657588243484,0.0188596598291664,2.890078060967166,0.6467519998550415,0.6493600159883499,0.0026080161333084106,211.98199089589303,209.5,101.18472119135706
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP16,torch.float16,8192,10,30,5.080415964126587,5.036706666151683,5.027321592966715,0.1293584298546318,2.573108313492533,4.957480072975159,5.0983041524887085,0.1408240795135498,216.4215756228979,209.5,103.30385471260044
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,FP16,torch.float16,16384,10,10,40.378318786621094,40.385175704956055,40.3878589630127,0.04498554186560937,0.1113838242992956,40.3686408996582,40.39967155456543,0.031030654907226562,217.8419826910299,209.5,103.98185331314077
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,BF16,torch.bfloat16,1024,10,200,0.02703999914228916,0.027762799966149034,0.03881615987978876,0.042238444667614304,108.8166495563295,0.026079999282956123,0.028839999809861183,0.00276000052690506,79.41877648366662,209.5,37.90872385855209
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,BF16,torch.bfloat16,4096,10,100,0.7512640058994293,0.7515847973525525,0.7534755194187164,0.010842542639120283,1.439003970226528,0.7490959912538528,0.7542160153388977,0.005120024085044861,182.9436155502421,209.5,87.32392150369552
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,BF16,torch.bfloat16,8192,10,30,4.799904108047485,4.761846661567688,4.762891737620036,0.08080227665963081,1.6964961857396073,4.671512126922607,4.807352066040039,0.13583993911743164,229.0694986869772,209.5,109.34104949259056
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,BF16,torch.bfloat16,16384,10,10,38.04289627075195,38.04580354690552,38.06043815612793,0.09037532948714905,0.23745215206514417,38.0111665725708,38.0781831741333,0.0670166015625,231.21512514730878,209.5,110.36521486745049
