uuid,gpu,implementation,batch,heads,head_dim,dtype,sequence_length,success,latency_reps,median_latency_ms,mean_latency_ms,peak_memory_bytes,peak_memory_GiB,error
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,fused:torch.nn.attention.FLASH_ATTENTION,4,32,64,torch.float16,512,True,5,0.0910400003194809,0.09310719966888428,42337280,0.039429664611816406,
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,fused:torch.nn.attention.FLASH_ATTENTION,4,32,64,torch.float16,1024,True,5,0.21385599672794342,0.2148863971233368,76153856,0.0709238052368164,
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,fused:torch.nn.attention.FLASH_ATTENTION,4,32,64,torch.float16,2048,True,5,0.6957119703292847,0.6882239937782287,143787008,0.1339120864868164,
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,fused:torch.nn.attention.FLASH_ATTENTION,4,32,64,torch.float16,4096,True,3,2.442847967147827,2.4492159684499106,279053312,0.2598886489868164,
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,fused:torch.nn.attention.FLASH_ATTENTION,4,32,64,torch.float16,8192,True,2,9.50102424621582,9.50102424621582,549585920,0.5118417739868164,
GPU-10848bc4-988f-587b-68c0-ece9deaf4e09,NVIDIA GeForce RTX 5090,fused:torch.nn.attention.FLASH_ATTENTION,4,32,64,torch.float16,16384,True,2,38.31838417053223,38.31838417053223,1090651136,1.0157480239868164,
